2026-03-10 12:10:37.759 | DEBUG    | __main__:run_ingestion:136 - Batch 147: inserted 197/200 | total 29,400
2026-03-10 12:10:38.928 | DEBUG    | __main__:run_ingestion:136 - Batch 148: inserted 200/200 | total 29,600
2026-03-10 12:10:40.046 | DEBUG    | __main__:run_ingestion:136 - Batch 149: inserted 198/200 | total 29,800
2026-03-10 12:10:41.184 | DEBUG    | __main__:run_ingestion:136 - Batch 150: inserted 198/200 | total 30,000
2026-03-10 12:10:42.281 | DEBUG    | __main__:run_ingestion:136 - Batch 151: inserted 199/200 | total 30,200
2026-03-10 12:10:43.331 | DEBUG    | __main__:run_ingestion:136 - Batch 152: inserted 198/200 | total 30,400
2026-03-10 12:10:44.218 | DEBUG    | __main__:run_ingestion:136 - Batch 153: inserted 198/200 | total 30,600
2026-03-10 12:10:45.148 | DEBUG    | __main__:run_ingestion:136 - Batch 154: inserted 196/200 | total 30,800
2026-03-10 12:10:46.058 | DEBUG    | __main__:run_ingestion:136 - Batch 155: inserted 191/200 | total 31,000
2026-03-10 12:10:47.212 | DEBUG    | __main__:run_ingestion:136 - Batch 156: inserted 198/200 | total 31,200
2026-03-10 12:10:48.106 | DEBUG    | __main__:run_ingestion:136 - Batch 157: inserted 197/200 | total 31,400
2026-03-10 12:10:49.052 | DEBUG    | __main__:run_ingestion:136 - Batch 158: inserted 198/200 | total 31,600
2026-03-10 12:10:50.188 | DEBUG    | __main__:run_ingestion:136 - Batch 159: inserted 200/200 | total 31,800
2026-03-10 12:10:51.246 | DEBUG    | __main__:run_ingestion:136 - Batch 160: inserted 200/200 | total 32,000
2026-03-10 12:10:52.305 | DEBUG    | __main__:run_ingestion:136 - Batch 161: inserted 197/200 | total 32,200
2026-03-10 12:10:53.452 | DEBUG    | __main__:run_ingestion:136 - Batch 162: inserted 198/200 | total 32,400
2026-03-10 12:10:54.524 | DEBUG    | __main__:run_ingestion:136 - Batch 163: inserted 199/200 | total 32,600
2026-03-10 12:10:55.635 | DEBUG    | __main__:run_ingestion:136 - Batch 164: inserted 197/200 | total 32,800
2026-03-10 12:10:56.812 | DEBUG    | __main__:run_ingestion:136 - Batch 165: inserted 196/200 | total 33,000
2026-03-10 12:10:58.023 | DEBUG    | __main__:run_ingestion:136 - Batch 166: inserted 197/200 | total 33,200
2026-03-10 12:10:59.127 | DEBUG    | __main__:run_ingestion:136 - Batch 167: inserted 197/200 | total 33,400
2026-03-10 12:11:00.311 | DEBUG    | __main__:run_ingestion:136 - Batch 168: inserted 198/200 | total 33,600
2026-03-10 12:11:01.438 | DEBUG    | __main__:run_ingestion:136 - Batch 169: inserted 198/200 | total 33,800
2026-03-10 12:11:02.568 | DEBUG    | __main__:run_ingestion:136 - Batch 170: inserted 199/200 | total 34,000
2026-03-10 12:11:03.460 | DEBUG    | __main__:run_ingestion:136 - Batch 171: inserted 197/200 | total 34,200
2026-03-10 12:11:04.535 | DEBUG    | __main__:run_ingestion:136 - Batch 172: inserted 197/200 | total 34,400
2026-03-10 12:11:05.723 | DEBUG    | __main__:run_ingestion:136 - Batch 173: inserted 198/200 | total 34,600
2026-03-10 12:11:06.856 | DEBUG    | __main__:run_ingestion:136 - Batch 174: inserted 198/200 | total 34,800
2026-03-10 12:11:07.965 | DEBUG    | __main__:run_ingestion:136 - Batch 175: inserted 199/200 | total 35,000
2026-03-10 12:11:09.172 | DEBUG    | __main__:run_ingestion:136 - Batch 176: inserted 195/200 | total 35,200
2026-03-10 12:11:10.368 | DEBUG    | __main__:run_ingestion:136 - Batch 177: inserted 198/200 | total 35,400
2026-03-10 12:11:11.528 | DEBUG    | __main__:run_ingestion:136 - Batch 178: inserted 195/200 | total 35,600
2026-03-10 12:11:12.640 | DEBUG    | __main__:run_ingestion:136 - Batch 179: inserted 200/200 | total 35,800
2026-03-10 12:11:13.703 | DEBUG    | __main__:run_ingestion:136 - Batch 180: inserted 198/200 | total 36,000
2026-03-10 12:11:14.806 | DEBUG    | __main__:run_ingestion:136 - Batch 181: inserted 195/200 | total 36,200
2026-03-10 12:11:16.007 | DEBUG    | __main__:run_ingestion:136 - Batch 182: inserted 196/200 | total 36,400
2026-03-10 12:11:17.150 | DEBUG    | __main__:run_ingestion:136 - Batch 183: inserted 199/200 | total 36,600
2026-03-10 12:11:18.271 | DEBUG    | __main__:run_ingestion:136 - Batch 184: inserted 198/200 | total 36,800
2026-03-10 12:11:19.338 | DEBUG    | __main__:run_ingestion:136 - Batch 185: inserted 198/200 | total 37,000
2026-03-10 12:11:20.463 | DEBUG    | __main__:run_ingestion:136 - Batch 186: inserted 198/200 | total 37,200
2026-03-10 12:11:21.640 | DEBUG    | __main__:run_ingestion:136 - Batch 187: inserted 197/200 | total 37,400
2026-03-10 12:11:22.779 | DEBUG    | __main__:run_ingestion:136 - Batch 188: inserted 195/200 | total 37,600
2026-03-10 12:11:23.807 | DEBUG    | __main__:run_ingestion:136 - Batch 189: inserted 197/200 | total 37,800
2026-03-10 12:11:24.873 | DEBUG    | __main__:run_ingestion:136 - Batch 190: inserted 197/200 | total 38,000
2026-03-10 12:11:25.946 | DEBUG    | __main__:run_ingestion:136 - Batch 191: inserted 199/200 | total 38,200
2026-03-10 12:11:27.106 | DEBUG    | __main__:run_ingestion:136 - Batch 192: inserted 191/200 | total 38,400
2026-03-10 12:11:28.181 | DEBUG    | __main__:run_ingestion:136 - Batch 193: inserted 190/200 | total 38,600
2026-03-10 12:11:29.367 | DEBUG    | __main__:run_ingestion:136 - Batch 194: inserted 194/200 | total 38,800
2026-03-10 12:11:30.434 | DEBUG    | __main__:run_ingestion:136 - Batch 195: inserted 199/200 | total 39,000
2026-03-10 12:11:31.502 | DEBUG    | __main__:run_ingestion:136 - Batch 196: inserted 198/200 | total 39,200
2026-03-10 12:11:32.606 | DEBUG    | __main__:run_ingestion:136 - Batch 197: inserted 199/200 | total 39,400
2026-03-10 12:11:33.666 | DEBUG    | __main__:run_ingestion:136 - Batch 198: inserted 197/200 | total 39,600
2026-03-10 12:11:34.854 | DEBUG    | __main__:run_ingestion:136 - Batch 199: inserted 199/200 | total 39,800
2026-03-10 12:11:35.936 | DEBUG    | __main__:run_ingestion:136 - Batch 200: inserted 200/200 | total 40,000
2026-03-10 12:11:37.007 | DEBUG    | __main__:run_ingestion:136 - Batch 201: inserted 197/200 | total 40,200
2026-03-10 12:11:38.210 | DEBUG    | __main__:run_ingestion:136 - Batch 202: inserted 197/200 | total 40,400
2026-03-10 12:11:39.334 | DEBUG    | __main__:run_ingestion:136 - Batch 203: inserted 199/200 | total 40,600
2026-03-10 12:11:40.410 | DEBUG    | __main__:run_ingestion:136 - Batch 204: inserted 199/200 | total 40,800
2026-03-10 12:11:41.490 | DEBUG    | __main__:run_ingestion:136 - Batch 205: inserted 198/200 | total 41,000
2026-03-10 12:11:42.588 | DEBUG    | __main__:run_ingestion:136 - Batch 206: inserted 197/200 | total 41,200
2026-03-10 12:11:43.654 | DEBUG    | __main__:run_ingestion:136 - Batch 207: inserted 197/200 | total 41,400
2026-03-10 12:11:44.758 | DEBUG    | __main__:run_ingestion:136 - Batch 208: inserted 198/200 | total 41,600
2026-03-10 12:11:45.655 | DEBUG    | __main__:run_ingestion:136 - Batch 209: inserted 199/200 | total 41,800
2026-03-10 12:11:46.560 | DEBUG    | __main__:run_ingestion:136 - Batch 210: inserted 197/200 | total 42,000
2026-03-10 12:11:47.857 | DEBUG    | __main__:run_ingestion:136 - Batch 211: inserted 199/200 | total 42,200
2026-03-10 12:11:48.737 | DEBUG    | __main__:run_ingestion:136 - Batch 212: inserted 198/200 | total 42,400
2026-03-10 12:11:49.832 | DEBUG    | __main__:run_ingestion:136 - Batch 213: inserted 196/200 | total 42,600
2026-03-10 12:11:50.718 | DEBUG    | __main__:run_ingestion:136 - Batch 214: inserted 197/200 | total 42,800
2026-03-10 12:11:51.816 | DEBUG    | __main__:run_ingestion:136 - Batch 215: inserted 199/200 | total 43,000
2026-03-10 12:11:52.770 | DEBUG    | __main__:run_ingestion:136 - Batch 216: inserted 198/200 | total 43,200
2026-03-10 12:11:53.860 | DEBUG    | __main__:run_ingestion:136 - Batch 217: inserted 200/200 | total 43,400
2026-03-10 12:11:54.951 | DEBUG    | __main__:run_ingestion:136 - Batch 218: inserted 198/200 | total 43,600
2026-03-10 12:11:55.846 | DEBUG    | __main__:run_ingestion:136 - Batch 219: inserted 197/200 | total 43,800
2026-03-10 12:11:56.908 | DEBUG    | __main__:run_ingestion:136 - Batch 220: inserted 196/200 | total 44,000
2026-03-10 12:11:58.105 | DEBUG    | __main__:run_ingestion:136 - Batch 221: inserted 200/200 | total 44,200
2026-03-10 12:11:59.171 | DEBUG    | __main__:run_ingestion:136 - Batch 222: inserted 200/200 | total 44,400
2026-03-10 12:12:00.377 | DEBUG    | __main__:run_ingestion:136 - Batch 223: inserted 198/200 | total 44,600
2026-03-10 12:12:01.286 | DEBUG    | __main__:run_ingestion:136 - Batch 224: inserted 197/200 | total 44,800
2026-03-10 12:12:02.731 | DEBUG    | __main__:run_ingestion:136 - Batch 225: inserted 200/200 | total 45,000
2026-03-10 12:12:03.888 | DEBUG    | __main__:run_ingestion:136 - Batch 226: inserted 195/200 | total 45,200
2026-03-10 12:12:05.313 | DEBUG    | __main__:run_ingestion:136 - Batch 227: inserted 199/200 | total 45,400
2026-03-10 12:12:06.379 | DEBUG    | __main__:run_ingestion:136 - Batch 228: inserted 199/200 | total 45,600
2026-03-10 12:12:07.321 | DEBUG    | __main__:run_ingestion:136 - Batch 229: inserted 200/200 | total 45,800
2026-03-10 12:12:08.292 | DEBUG    | __main__:run_ingestion:136 - Batch 230: inserted 199/200 | total 46,000
2026-03-10 12:12:09.327 | DEBUG    | __main__:run_ingestion:136 - Batch 231: inserted 197/200 | total 46,200
2026-03-10 12:12:10.609 | DEBUG    | __main__:run_ingestion:136 - Batch 232: inserted 198/200 | total 46,400
2026-03-10 12:12:11.769 | DEBUG    | __main__:run_ingestion:136 - Batch 233: inserted 198/200 | total 46,600
2026-03-10 12:12:12.875 | DEBUG    | __main__:run_ingestion:136 - Batch 234: inserted 198/200 | total 46,800
2026-03-10 12:12:14.018 | DEBUG    | __main__:run_ingestion:136 - Batch 235: inserted 198/200 | total 47,000
2026-03-10 12:12:15.108 | DEBUG    | __main__:run_ingestion:136 - Batch 236: inserted 198/200 | total 47,200
