tx_hash,total_score,high_velocity,large_transfer,structuring,multi_hop,is_alert
00c341c4e8b808ca7e32408a7ebc100442e4849d17be0e6f620b217527b3eb7f,35.0,0.0,0.0,35.0,0.0,False
00c3c80f20f519b5701dd59496ff947ac03c997db16bacfcce435e60095b412d,60.0,25.0,0.0,35.0,0.0,True
00c47a11d02a833110833568ddedf431feac907321addcef36aa6df46441dfbd,60.0,25.0,0.0,35.0,0.0,True
00c666aef444c67158bcfff15393e243ac4f7ab121ac6519e33e8be5b3a21dda,60.0,25.0,0.0,35.0,0.0,True
00c6c03964607fc2ad4d5ce1f3e142c42ccf76d05febb8e8104013feba1906d5,60.0,25.0,0.0,35.0,0.0,True
00c6dc711400539fb1f00a4b37d0c66c4789798f12bb4bfa3f829d1ab17cfaf3,60.0,25.0,0.0,35.0,0.0,True
00c7bb2245c8198f216503840253fbc957a29429149f4a59adf5ea2b6703d6f6,60.0,25.0,0.0,35.0,0.0,True
00d0e04f8f44f661f4a280e646b2d878f896379eed9147bf936f1d1733a9ba39,60.0,25.0,0.0,35.0,0.0,True
00d36a03a66214b58af82e394bd5b6358a4a04d44fcfafff3bbe97ed9ab57b36,60.0,25.0,0.0,35.0,0.0,True
00d3d065a6b98fe2378a0e3d4d5ae396c30053c99275f33ae93ebe65bd5a1910,35.0,0.0,0.0,35.0,0.0,False
00d5364314c54563d1f3e89015b1c8569b5ec69c8641e3e5fa68a744219f5c3b,60.0,25.0,0.0,35.0,0.0,True
00d67fe4e7f42735535c77d98eb49df41ec75943c274a2202318cd3ae20c0c3b,60.0,25.0,0.0,35.0,0.0,True
00d91c33d826c995f3c35e3ba6268b53160fafd7a14255754ffb80472991bb42,60.0,25.0,0.0,35.0,0.0,True
00da629b1e114daded7c611aadb4c312c65bb2535e94eeda09c3193251a9b241,60.0,25.0,0.0,35.0,0.0,True
00da79184028214168daaad13057860913c9b5edcb9edb1fd48aad8ac69aee14,60.0,25.0,0.0,35.0,0.0,True
00de22454a478470e6a6cab1e56d25600983c05bb4e3d6ba9f8a200bb4ea6cba,60.0,25.0,0.0,35.0,0.0,True
00e057e914e224fcd1df09dd87701ca1fe7fcde1a7ca947b6a91421a703f7a06,35.0,0.0,0.0,35.0,0.0,False
00e1f7e37ffd13ba88f5595562578888621d7db9ce1d99bcdaa33287ad501e07,60.0,25.0,0.0,35.0,0.0,True
00e61db1fa3e733ab5382a95df1ac5aec9a52b4c123430ab439a73206d797c8e,35.0,0.0,0.0,35.0,0.0,False
00e9cf2dc1351e63b33b56541786f78fd3e63dd1f6eb92f61896ef24753ea0e5,35.0,0.0,0.0,35.0,0.0,False
00eb4a61d2f189a72f6e47d9d7932c23d6b68f2bf484ad062f557961d3205700,60.0,25.0,0.0,35.0,0.0,True
00ee6ef2dc03369eb303633cac55647197473333a21ddc24af7186accd66d04d,60.0,25.0,0.0,35.0,0.0,True
00f030b8873bba73f72d21aa920fb40a61a8713d9dc5106e5c861899f68466fb,60.0,25.0,0.0,35.0,0.0,True
00f1b92c06c6d441c91b84696597e571500435abbbfb7b68672a8fa9401c4551,60.0,25.0,0.0,35.0,0.0,True
00f1e2ca58084ef96d984e570a0b4424faef2dfe09e191274849bf84078f7a1c,60.0,25.0,0.0,35.0,0.0,True
00f25f88f523d1c0ceb69a5986ed4edcd98f91ca3589a83464df64ad71fbade3,60.0,25.0,0.0,35.0,0.0,True
00f58b37df818123f4e7f242f3518d90c1fe2d4e93307f7d2d3596f689c82fd7,35.0,0.0,0.0,35.0,0.0,False
00f70d8b65659a64e1cd355eeac3a7b70c7e45ecc4fc43b36489eb845e7b6f75,60.0,25.0,0.0,35.0,0.0,True
00fa7928af27e91f7c9e7e6b7bc4df347cc737ef728ab4fd810e371c28722435,60.0,25.0,0.0,35.0,0.0,True
00fafcc6f1681be6232d2d2345462ece98df652eb7f809ebf7b25b2476535fbb,60.0,25.0,0.0,35.0,0.0,True
00fb1bbeaf87033463467e9d8d1c80a3ad5560acfe47a779f4e0c2a81b9a2d56,60.0,25.0,0.0,35.0,0.0,True
00fb208345d4f0e9ef226b861cc8730c654b31aa88e7321868e78ed47aac90c9,60.0,25.0,0.0,35.0,0.0,True
00fc7c8adac9a1c4050e4ffe3ed75192b97c9311841e70c5f7982c6e2a381cb5,60.0,25.0,0.0,35.0,0.0,True
00fd066b7e5463bc7e8c4d8822aa08e48b3af959d55a9cafab11914d371463f8,35.0,0.0,0.0,35.0,0.0,False
00fe9a12f1c8d766f39ed4e80eeee9e611fd6eccb3e0b47f5addb5f09f42dcc7,60.0,25.0,0.0,35.0,0.0,True
0101803164c871c616266da7d8501e962113dc2b0d17d36e1be381bf1698c026,60.0,25.0,0.0,35.0,0.0,True
0103bae91b87b875a1441e6371d0d82d36124d5b31bccde4ba2d744caa153079,60.0,25.0,0.0,35.0,0.0,True
0104f7ab5e7dc592c21dd0c05f3ffd37b87ee32cc973df8edaed8a82534efa8a,60.0,25.0,0.0,35.0,0.0,True
01050b91538a44f329159d460f5d3bf17f414d052e27b2899d087b83d4f9c8f2,60.0,25.0,0.0,35.0,0.0,True
0105682c773440a25617be352f733c4f0d790e3da07e4abddf023d5d9e3fe1a8,60.0,25.0,0.0,35.0,0.0,True
010ca71023694ef2692a6557099f84dce4602ffb8e4960ac8d0931679e1c192e,60.0,25.0,0.0,35.0,0.0,True
0111895a0177b1e30165ed14e0aa63e40498e95d008dff1bd8dbe713cb41432e,60.0,25.0,0.0,35.0,0.0,True
01127c3e921f1cbeb1f2c581771f1f0b07df9b4cdff10d40e1cf3b910b20b206,60.0,25.0,0.0,35.0,0.0,True
01148297d2a5f9756d9a50d7e2ab8c42ab0ac2bb63402de263c8cc7563ba20a8,60.0,25.0,0.0,35.0,0.0,True
0115b58d38185df3e64cccd3b1d5fda4c1c10d13469c50f286691b088f0b5e1d,60.0,25.0,0.0,35.0,0.0,True
0117410a86416c1c21ff5a3993812c82da5184f8592cf252265db9d972722fb9,60.0,25.0,0.0,35.0,0.0,True
011a2dbe3fedac328051a734ebb83830c4691ddb6f5abd44ef8cd2200ce0a2de,60.0,25.0,0.0,35.0,0.0,True
011d5a96997e4e1884883f71af39bdaa3c4b61419ed58a3912e9915146133df5,60.0,25.0,0.0,35.0,0.0,True
011ef30cc3acf9bde89d26aaeaa49842064067d0c5029da169b1193308552914,60.0,25.0,0.0,35.0,0.0,True
011ffb209a1f451666fd24d24242d34172eefef70f783486da0e950d1ff2ff14,60.0,25.0,0.0,35.0,0.0,True
012092960f0d0d7e13020890e2cdd7542b2557287e897312286fc1768b030692,60.0,25.0,0.0,35.0,0.0,True
0120c4e5072bc847519e75fc21715272878fca307a5168a7b4aee7a99f073a49,60.0,25.0,0.0,35.0,0.0,True
012186bf440638d98d3b3347ac1af14c06444aeefd25299b40de69cd6f5a1f15,35.0,0.0,0.0,35.0,0.0,False
01227778ec4668e5ef97f0304c83149883824c76bcbfb7912036d2d313357efe,35.0,0.0,0.0,35.0,0.0,False
012293838fec112eb0263cb2840b9b39fb9878bb31493bac2eaf916d229cda1a,60.0,25.0,0.0,35.0,0.0,True
01242793bdde9669e9afa430b46c122301eff83e6cd4bdf1168340aca3345fdd,60.0,25.0,0.0,35.0,0.0,True
01246f292530349e39094c8eb2ca5928d5539f4312e99e13d1cff68aedd24e18,60.0,25.0,0.0,35.0,0.0,True
01257a024c3baeb9f161c5c83751d92f8e101bb0c5a3d36c85af3b819bf647f7,60.0,25.0,0.0,35.0,0.0,True
0125f078d33521432fc3acd773de5d0915ea544e6203b0344bc48e453cb183ca,40.0,0.0,40.0,0.0,0.0,False
01275d169a9ae2855e826615fda63f4faee02ddfc6bac1f56c96276688d452b6,60.0,25.0,0.0,35.0,0.0,True
01286849b2d80ceb220c6ced97eb789fdbfd43cb14a961fc6a1705b449231481,60.0,25.0,0.0,35.0,0.0,True
012900474e749a552964b901bf47a3cf7aae2207e8f03f87939efddbad76ef44,60.0,25.0,0.0,35.0,0.0,True
012b6e53abc968718024ce0f5069fea3cc1c3fc7c2982c7aa60247a15f12efac,35.0,0.0,0.0,35.0,0.0,False
0131b37545f37519fe813640413a26bc33c9d6301f05f47f697fc7831fd5a983,60.0,25.0,0.0,35.0,0.0,True
0133824cdcb42462b8178cd18d75117a019f30803b2d2ef81707cf7973e078f8,60.0,25.0,0.0,35.0,0.0,True
013986f7f22040fe9a466fe2ea5ac2a7435c7843f4d13f1957e5cf4905e03ba2,35.0,0.0,0.0,35.0,0.0,False
013a73d34e6cdd586bef510f62edea938e56034a6a16bdd9e0de99ee6ce4d92e,60.0,25.0,0.0,35.0,0.0,True
013de52db67d715113891ca46d0208f4acbbbca553cbcb4d387b30a821c7b298,60.0,25.0,0.0,35.0,0.0,True
013e561bcd3a0daf70dda9fa8b89e513ee9748f46df7503be43d00010a1a340e,60.0,25.0,0.0,35.0,0.0,True
0140e9e2b3744caa4855aa896093a90abffd3215916759cffd66730f995518ae,60.0,25.0,0.0,35.0,0.0,True
0143ad6c7368fc37b75a03e71e267a2ee9025f08635e4d86c20211d0f7ebf67b,60.0,25.0,0.0,35.0,0.0,True
0149e21bf93b0b8670fe2a75ce3749c2b05b95ea4a8201b32a10be2c6252c47a,60.0,25.0,0.0,35.0,0.0,True
014a0b91a987133ebf0e7ec89bbc17d4a2f9bfb2de4e1daf581fd5faeacc31c1,35.0,0.0,0.0,35.0,0.0,False
014be275277349cd31941f0e5cdc2de13d80a7bcac456d1c3c122cbc64f4df87,35.0,0.0,0.0,35.0,0.0,False
014d628a7f35b8b2ab9ecd64493e94b9c796bdae30e49b0f62fc8b990119add4,60.0,25.0,0.0,35.0,0.0,True
014fb0b0156818c796a2b6467bbd55a979d5e0187de79e0a8f4eb569354aef50,60.0,25.0,0.0,35.0,0.0,True
014ff070edccba2e8046450fc4303d11cb47d692372ddde69cd1dc63ec22e5ed,35.0,0.0,0.0,35.0,0.0,False
0155f59020761be290af8c3d4af1f3d3aa97ad304c2dc863514c3daaf5a1e3eb,35.0,0.0,0.0,35.0,0.0,False
01564b387999fc30d5eddf18841d6828c6ddaf1f1d2e08c7121e837fa07ed922,60.0,25.0,0.0,35.0,0.0,True
0156c07d3c61abd7fe789c29d8b43d73c5d121b28fe5e82818ebaa465b447ad7,40.0,0.0,40.0,0.0,0.0,False
0156c6e794baa297e3b629f74e1717d494465d19a9aaef4b1992105dae782d61,60.0,25.0,0.0,35.0,0.0,True
0159d5234ab0c2dee44c06d4aa5c6326a13f4ecf3ad68de16d09147e12f534f9,60.0,25.0,0.0,35.0,0.0,True
015c311cecfd1f5173b2587530806e7173ba4a456197740d6b30c95774907ed1,60.0,25.0,0.0,35.0,0.0,True
015c39474e2da7b5c6e16eec0bef222151694ad2681913a977492f98529d8b80,60.0,25.0,0.0,35.0,0.0,True
015cfedd22a4399c51b12bfff81151db24036ecf1435c15ea60c8db91c635b53,35.0,0.0,0.0,35.0,0.0,False
01614bf9a20f0a47181ba4799e76797f302a033979a0caa108f5cc427a160800,60.0,25.0,0.0,35.0,0.0,True
01616a1f7b2471972c6b9b3faf1054105b7bd94d5cbc8f342607032899abadbd,60.0,25.0,0.0,35.0,0.0,True
0161fe21cb1ed8ecee1414cf6ca4107a04317d6bdfd998a55465d1644fb512df,60.0,25.0,0.0,35.0,0.0,True
0162d87adca452dad90e65ce2d649b98cedbec244d4b0a13053f18313ddc22c6,60.0,25.0,0.0,35.0,0.0,True
0162f9f3cc03a9e35c367c28a621730c9f3e91c19e3d0c9c429e620b439d1d20,60.0,25.0,0.0,35.0,0.0,True
01648fda1df3eb01d67a223b61b37ee6152a509afa008a1e2b54dc32d58182fc,60.0,25.0,0.0,35.0,0.0,True
0164916998194924cca531a771608de80aab9612dfb4fc92dee97d633816569c,60.0,25.0,0.0,35.0,0.0,True
0165dbb157179686fa6ada5b6e6cd0d454192d6304941ef133493a56cb161a58,40.0,0.0,40.0,0.0,0.0,False
016705ffc0c6cb2368ccf5a9df2fa833588f746290418604de6af64c43055be1,60.0,25.0,0.0,35.0,0.0,True
016706d290e4b98f01be9308e53ad6841b0dbd62c50f9968207e5185ef533913,60.0,25.0,0.0,35.0,0.0,True
01673058a7a7774a060ffcfc67f1f4f3e95e11525f728075a4661f8be12c9788,60.0,25.0,0.0,35.0,0.0,True
0169acfdab92fcd953101219d690dd4662929f1d03d48bf2bcd88e2c10aeb636,60.0,25.0,0.0,35.0,0.0,True
016b150a8c7238faa56361ff49094a013c10debc8cf8338b66f3ae773ef92c20,60.0,25.0,0.0,35.0,0.0,True
016b8c89369b61345886fb5ae0705fe1bb91e7c6e23e698f130c7025447aeffb,60.0,25.0,0.0,35.0,0.0,True
016e695afe94d10848d578f1215a74e41e1913a3c13c3029e92150628df3761f,25.0,25.0,0.0,0.0,0.0,False
0170e55d6583e10662d5021d2b90ea5a6546371848b3f322338c9a9371729a18,60.0,25.0,0.0,35.0,0.0,True
017243a2e30dfcc5a45d2c4261dd11660988885fca510dd897ecba52a437102a,60.0,25.0,0.0,35.0,0.0,True
0173cf2f75f6588a389b28a848e3b92cab16c41d4d9857d706dca11997510eee,60.0,25.0,0.0,35.0,0.0,True
01774ace41d27e677fafb03768be649eab86c7617a4c532514677f9fbe5295f6,35.0,0.0,0.0,35.0,0.0,False
